t,GAS_PRICE,POWER_PRICE,HEAT_PRICE,heat_demand,chp1.bin,chp1.power,chp1.gas,chp1.heat,chp1.eta_th,chp1.eta_el,chp1.y1,chp1.y2,boiler1.bin,boiler1.heat,boiler1.gas,boiler1.eta_th,boiler1.y1,boiler1.y2,heat_storage1.heat_charge,heat_storage1.bin_charge,heat_storage1.heat_discharge,heat_storage1.bin_discharge,heat_storage1.heat_balance,heat_storage1.heat_capacity,ngas_grid.gas_balance,power_grid.power_balance,power_grid.power_supply,power_grid.power_feedin,heat_grid.heat_balance,heat_grid.heat_supply,heat_grid.heat_feedin,arc03_expanded.heat,arc04_expanded.heat,arc05_expanded.gas,arc06_expanded.gas
1,0.1543,0.105,0.05,86.89020582132288,1.0,26.372168284790135,93.85113268603627,58.0,0.6179999999651697,0.2810000000106162,1.0,0.0,1.0,86.89020582132288,79.91063924673442,1.0876764245492014,1.0,0.0,58.0,1.0,0.0,1.0,-58.0,58.0,173.76177193277067,-26.372168284790135,0.0,26.372168284790135,0.0,86.89020582132288,86.89020582132288,0.0,86.89020582132288,79.91063924673442,93.85113268603627
2,0.1543,0.105,0.05,102.67012913651094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.67012913651094,94.86534409130634,1.0846554932839063,1.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,94.86534409130634,0.0,0.0,0.0,0.0,102.67012913651094,102.67012913651094,0.0,102.67012913651094,94.86534409130634,0.0
3,0.1543,0.105,0.05,197.10818009752964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,23.10818009752964,1.0,23.10818009752964,34.89181990246998,162.46498599439482,0.0,0.0,0.0,0.0,197.10818009752964,197.10818009752964,23.10818009752964,174.0,162.46498599439482,0.0
4,0.1543,0.105,0.05,131.41110425250923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.41110425250923,122.10329647040626,1.079153279579267,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,122.10329647040626,0.0,0.0,0.0,0.0,131.41110425250923,131.41110425250923,0.0,131.41110425250923,122.10329647040626,0.0
5,0.1543,0.105,0.05,134.36278677058627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134.36278677058627,124.90061937059039,1.0785882052233289,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,124.90061937059039,0.0,0.0,0.0,0.0,134.36278677058627,134.36278677058627,0.0,134.36278677058627,124.90061937059039,0.0
6,0.1543,0.105,0.05,133.35488413447985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.35488413447985,123.94542547427214,1.0787811595568177,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,123.94542547427214,0.0,0.0,0.0,0.0,133.35488413447985,133.35488413447985,0.0,133.35488413447985,123.94542547427214,0.0
7,0.1543,0.105,0.05,148.67082790766605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,148.67082790766605,138.46041480401144,1.075849053203843,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,138.46041480401144,0.0,0.0,0.0,0.0,148.67082790766605,148.67082790766605,0.0,148.67082790766605,138.46041480401144,0.0
8,0.1543,0.105,0.05,155.76612945938308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.76612945938308,145.1846642423489,1.0744907184473205,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,145.1846642423489,0.0,0.0,0.0,0.0,155.76612945938308,155.76612945938308,0.0,155.76612945938308,145.1846642423489,0.0
9,0.1543,0.105,0.05,149.41335246313022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.41335246313022,139.16410869054167,1.0757069032326392,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,139.16410869054167,0.0,0.0,0.0,0.0,149.41335246313022,149.41335246313022,0.0,149.41335246313022,139.16410869054167,0.0
10,0.1543,0.105,0.05,132.52799498318225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.52799498318225,123.16177887790802,1.0789394604078544,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990246998,123.16177887790802,0.0,0.0,0.0,0.0,132.52799498318225,132.52799498318225,0.0,132.52799498318225,123.16177887790802,0.0
11,0.1543,0.105,0.05,128.1881334012233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.18813340120178,119.04887238726951,1.0797702897647652,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990244847,119.04887238726951,0.0,0.0,0.0,0.0,128.1881334012233,128.1881334012233,0.0,128.18813340120178,119.04887238726951,0.0
12,0.1543,0.105,0.05,123.8851574175104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.88515741750224,114.97092254529707,1.0805940576895725,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.8918199024403,114.97092254529707,0.0,0.0,0.0,0.0,123.8851574175104,123.8851574175104,0.0,123.88515741750224,114.97092254529707,0.0
13,0.1543,0.105,0.05,120.24610785605115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.2461078560019,111.52217878273223,1.081290722583103,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,111.52217878273223,0.0,0.0,0.0,0.0,120.24610785605115,120.24610785605115,0.0,120.2461078560019,111.52217878273223,0.0
14,0.1543,0.105,0.05,129.2256067900492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,129.2256067900492,120.03209061998282,1.079571674363747,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,120.03209061998282,0.0,0.0,0.0,0.0,129.2256067900492,129.2256067900492,0.0,129.2256067900492,120.03209061998282,0.0
15,0.1543,0.105,0.05,144.84779804164918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,144.84779804164918,134.8373120730091,1.076580939552067,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,134.8373120730091,0.0,0.0,0.0,0.0,144.84779804164918,144.84779804164918,0.0,144.84779804164918,134.8373120730091,0.0
16,0.1543,0.105,0.05,166.56653578784764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.56653578784764,155.4202582701206,1.072423073091646,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,155.4202582701206,0.0,0.0,0.0,0.0,166.56653578784764,166.56653578784764,0.0,166.56653578784764,155.4202582701206,0.0
17,0.1543,0.105,0.05,169.65940464198837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.65940464198837,158.35138410088592,1.07183096982002,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34.89181990239104,158.35138410088592,0.0,0.0,0.0,0.0,169.65940464198837,169.65940464198837,0.0,169.65940464198837,158.35138410088592,0.0
18,0.1543,0.105,0.05,180.98217387350823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0,162.46498599439482,1.070999999987968,1.0,0.0,0.0,1.0,6.982173873508231,1.0,6.982173873508231,27.90964602888281,162.46498599439482,0.0,0.0,0.0,0.0,180.98217387350823,180.98217387350823,6.982173873508231,174.0,162.46498599439482,0.0
19,0.1543,0.105,0.05,159.72915392902087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.72915392902087,148.9404404936952,1.0737320313303853,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602888281,148.9404404936952,0.0,0.0,0.0,0.0,159.72915392902087,159.72915392902087,0.0,159.72915392902087,148.9404404936952,0.0
20,0.1543,0.105,0.05,141.17185343819725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,141.17185343819725,131.35360271196865,1.0772846676856105,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602888281,131.35360271196865,0.0,0.0,0.0,0.0,141.17185343819725,141.17185343819725,0.0,141.17185343819725,131.35360271196865,0.0
21,0.1543,0.105,0.05,103.37569949235706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.3756994923436,95.53401631535962,1.0845204178779475,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.90964602886934,95.53401631535962,0.0,0.0,0.0,0.0,103.37569949235706,103.37569949235706,0.0,103.3756994923436,95.53401631535962,0.0
22,0.1543,0.105,0.05,108.05637359730451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.2,78.30882352940881,1.0879999999879681,1.0,0.0,0.0,1.0,22.85637359730451,1.0,22.85637359730451,5.053272431564828,78.30882352940881,0.0,0.0,0.0,0.0,108.05637359730451,108.05637359730451,22.85637359730451,85.2,78.30882352940881,0.0
23,0.1543,0.105,0.05,106.48752403357732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.48752403357732,98.48310653669516,1.0839246857022609,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.053272431564828,98.48310653669516,0.0,0.0,0.0,0.0,106.48752403357732,106.48752403357732,0.0,106.48752403357732,98.48310653669516,0.0
24,0.1543,0.105,0.05,111.895874623898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.84260219233317,98.81961571705581,1.0838567090277242,1.0,0.0,0.0,1.0,5.053272431564821,1.0,5.053272431564821,0.0,98.81961571705581,0.0,0.0,0.0,0.0,111.895874623898,111.895874623898,5.053272431564821,106.84260219233317,98.81961571705581,0.0
